code_1c,description,print_name,sku,reference,group,item_type,vat_rate,uom,hs_code
00-00002440,"4.5mm Locking Screw for Suprapatellar Tibial Nail 4,5x52","4.5mm Locking Screw for Suprapatellar Tibial Nail 4,5x52",3050540052,"4.5mm Locking Screw for Suprapatellar Tibial Nail 4,5x52",Boneunion,Հատ,Без НДС,հատ,9021
00-00002441,"4.5mm Locking Screw for Suprapatellar Tibial Nail 4,5x54","4.5mm Locking Screw for Suprapatellar Tibial Nail 4,5x54",3050540054,"4.5mm Locking Screw for Suprapatellar Tibial Nail 4,5x54",Boneunion,Հատ,Без НДС,հատ,9021
00-00002442,"4.5mm Locking Screw for Suprapatellar Tibial Nail 4,5x58","4.5mm Locking Screw for Suprapatellar Tibial Nail 4,5x58",3050540058,"4.5mm Locking Screw for Suprapatellar Tibial Nail 4,5x58",Boneunion,Հատ,Без НДС,հատ,9021
00-00002457,End Cap for Suprapatellar Tibial Nail 0mm,End Cap for Suprapatellar Tibial Nail 0mm,3050560000,End Cap for Suprapatellar Tibial Nail 0mm,Boneunion,Հատ,Без НДС,հատ,9021
00-00002460,End Cap for Suprapatellar Tibial Nail 5mm,End Cap for Suprapatellar Tibial Nail 5mm,3050560005,End Cap for Suprapatellar Tibial Nail 5mm,Boneunion,Հատ,Без НДС,հատ,9021
00-00002458,End Cap for Suprapatellar Tibial Nail 10mm,End Cap for Suprapatellar Tibial Nail 10mm,3050560010,End Cap for Suprapatellar Tibial Nail 10mm,Boneunion,Հատ,Без НДС,հատ,9021
00-00002459,End Cap for Suprapatellar Tibial Nail 15mm,End Cap for Suprapatellar Tibial Nail 15mm,3050560015,End Cap for Suprapatellar Tibial Nail 15mm,Boneunion,Հատ,Без НДС,հատ,9021
00-00002501,Distal Lateral Tibial Locking Plate RIGHT 7holes,Distal Lateral Tibial Locking Plate RIGHT 7holes,3010262007,Distal Lateral Tibial Locking Plate RIGHT 7holes,Boneunion,Հատ,Без НДС,հատ,9021
00-00002502,Distal Lateral Tibial Locking Plate RIGHT 5holes,Distal Lateral Tibial Locking Plate RIGHT 5holes,3010262005,Distal Lateral Tibial Locking Plate RIGHT 5holes,Boneunion,Հատ,Без НДС,հատ,9021
00-00002503,Distal Lateral Tibial Locking Plate RIGHT 9holes,Distal Lateral Tibial Locking Plate RIGHT 9holes,3010262009,Distal Lateral Tibial Locking Plate RIGHT 9holes,Boneunion,Հատ,Без НДС,հատ,9021
00-00002504,Distal Lateral Tibial Locking Plate RIGHT 11holes,Distal Lateral Tibial Locking Plate RIGHT 11holes,3010262011,Distal Lateral Tibial Locking Plate RIGHT 11holes,Boneunion,Հատ,Без НДС,հատ,9021
00-00002505,"FA Calcaneal Locking Plate, small,right ","FA Calcaneal Locking Plate, small,right ",3010512060,"FA Calcaneal Locking Plate, small,right ",Boneunion,Հատ,Без НДС,հատ,9021
00-00002506,"FA Calcaneal Locking Plate, large,right ","FA Calcaneal Locking Plate, large,right ",3010532072,"FA Calcaneal Locking Plate, large,right ",Boneunion,Հատ,Без НДС,հատ,9021
00-00002507,"FA MIS Calcaneal Locking Plate, medium,left  ","FA MIS Calcaneal Locking Plate, medium,left  ",3010621059.L,"FA MIS Calcaneal Locking Plate, medium,left  ",Boneunion,Հատ,Без НДС,հատ,9021
00-00002508,"FA Calcaneal Locking Plate, large,left ","FA Calcaneal Locking Plate, large,left ",3010531072,"FA Calcaneal Locking Plate, large,left ",Boneunion,Հատ,Без НДС,հատ,9021
00-00002509,"FA Calcaneal Locking Plate, medium,right ","FA Calcaneal Locking Plate, medium,right ",3010622059,"FA Calcaneal Locking Plate, medium,right ",Boneunion,Հատ,Без НДС,հատ,9021
00-00002510,"FA Calcaneal Locking Plate, small,left ","FA Calcaneal Locking Plate, small,left ",3010511060,"FA Calcaneal Locking Plate, small,left ",Boneunion,Հատ,Без НДС,հատ,9021
00-00002554,Screw - 6/40,Screw - 6/40,3146-60400,Screw - 6/40,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002555,Femoral Stem-BC4 8,Femoral Stem-BC4 8,3514-02080,Femoral Stem-BC4 8,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002556,Femoral Stem-BC4 9,Femoral Stem-BC4 9,3514-02090,Femoral Stem-BC4 9,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002557,Femoral Stem-BC4 11,Femoral Stem-BC4 11,3514-02110,Femoral Stem-BC4 11,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002558,Femoral Stem-BC4 12,Femoral Stem-BC4 12,3514-02120,Femoral Stem-BC4 12,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002559,Femoral Stem-BC4 13,Femoral Stem-BC4 13,3514-02130,Femoral Stem-BC4 13,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002560,WAGNER Femoral Stem-130 - 205mm 10,WAGNER Femoral Stem-130 - 205mm 10,3205-10044,WAGNER Femoral Stem-130 - 205mm 10,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002561,WAGNER Femoral Stem-130 - 205mm 11,WAGNER Femoral Stem-130 - 205mm 11,3205-11044,WAGNER Femoral Stem-130 - 205mm 11,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002562,WAGNER Femoral Stem-130 - 205mm 12,WAGNER Femoral Stem-130 - 205mm 12,3205-12044,WAGNER Femoral Stem-130 - 205mm 12,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002563,WAGNER Femoral Stem-130 - 205mm 13,WAGNER Femoral Stem-130 - 205mm 13,3205-13044,WAGNER Femoral Stem-130 - 205mm 13,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002564,WAGNER Femoral Stem-130 -205mm 14,WAGNER Femoral Stem-130 -205mm 14,3205-14044,WAGNER Femoral Stem-130 -205mm 14,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002565,WAGNER Femoral Stem-130-205mm 15,WAGNER Femoral Stem-130-205mm 15,3205-15044,WAGNER Femoral Stem-130-205mm 15,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002566,WAGNER Femoral Stem-130-205mm 16,WAGNER Femoral Stem-130-205mm 16,3205-16044,WAGNER Femoral Stem-130-205mm 16,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002567,WAGNER Femoral Stem-130-250mm 10,WAGNER Femoral Stem-130-250mm 10,3250-10044,WAGNER Femoral Stem-130-250mm 10,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002568,WAGNER Femoral Stem-130-250mm 11,WAGNER Femoral Stem-130-250mm 11,3250-11044,WAGNER Femoral Stem-130-250mm 11,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002569,WAGNER Femoral Stem-130-250mm 12,WAGNER Femoral Stem-130-250mm 12,3250-12044,WAGNER Femoral Stem-130-250mm 12,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002570,WAGNER Femoral Stem-130-250mm 13,WAGNER Femoral Stem-130-250mm 13,3250-13044,WAGNER Femoral Stem-130-250mm 13,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002571,WAGNER Femoral Stem-130-250mm 14,WAGNER Femoral Stem-130-250mm 14,3250-14044,WAGNER Femoral Stem-130-250mm 14,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002572,WAGNER Femoral Stem-130-250mm 15,WAGNER Femoral Stem-130-250mm 15,3250-15044,WAGNER Femoral Stem-130-250mm 15,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002573,WAGNER Femoral Stem-130-250mm 16,WAGNER Femoral Stem-130-250mm 16,3250-16044,WAGNER Femoral Stem-130-250mm 16,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002574,Femoral Head-T 22/0,Femoral Head-T 22/0,3210-10220,Femoral Head-T 22/0,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002575,Femoral Head-T - 22/3,Femoral Head-T - 22/3,3210-13220,Femoral Head-T - 22/3,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002576,Femoral Head-T 22/6,Femoral Head-T 22/6,3210-16220,Femoral Head-T 22/6,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002577,64 Cup 48,64 Cup 48,3154-05480,64 Cup 48,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002578,64 Cup 50,64 Cup 50,3154-05500,64 Cup 50,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002579,64 Cup 52,64 Cup 52,3154-05520,64 Cup 52,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002580,64 Cup 54,64 Cup 54,3154-05540,64 Cup 54,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002581,64 Cup 56,64 Cup 56,3154-05560,64 Cup 56,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002582,64 Cup 58,64 Cup 58,3154-05580,64 Cup 58,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002583,64 Cup 60,64 Cup 60,3154-05600,64 Cup 60,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002584,64 Cup 62,64 Cup 62,3154-05620,64 Cup 62,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002585,64 Liner 48 (working with cup size of 48),64 Liner 48 (working with cup size of 48),3154-22481,64 Liner 48 (working with cup size of 48),Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002586,"64 Liner 50 (working with cup size of 50,52)","64 Liner 50 (working with cup size of 50,52)",3154-22501,"64 Liner 50 (working with cup size of 50,52)",Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002587,"64 Liner 54 (working with cup size of 54,56)","64 Liner 54 (working with cup size of 54,56)",3154-22541,"64 Liner 54 (working with cup size of 54,56)",Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002588,"64 Liner 58 (working with cup size of 58,60)","64 Liner 58 (working with cup size of 58,60)",3154-22581,"64 Liner 58 (working with cup size of 58,60)",Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002589,"64 Liner 62 (working with cup size of 62,64)","64 Liner 62 (working with cup size of 62,64)",3154-22621,"64 Liner 62 (working with cup size of 62,64)",Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002590,Cemented Cup-HXLPE with 32head 46,Cemented Cup-HXLPE with 32head 46,3170-28460,Cemented Cup-HXLPE with 32head 46,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002591,Cemented Cup-HXLPE with 32head 48,Cemented Cup-HXLPE with 32head 48,3170-28480,Cemented Cup-HXLPE with 32head 48,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002592,Cemented Cup-HXLPE with 32head 50,Cemented Cup-HXLPE with 32head 50,3170-28500,Cemented Cup-HXLPE with 32head 50,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002593,Cemented Cup-HXLPE with 32head 52,Cemented Cup-HXLPE with 32head 52,3170-28520,Cemented Cup-HXLPE with 32head 52,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002594,Cemented Cup-HXLPE with 32head 54,Cemented Cup-HXLPE with 32head 54,3170-28540,Cemented Cup-HXLPE with 32head 54,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002595,Cemented Cup-HXLPE with 32head 56,Cemented Cup-HXLPE with 32head 56,3170-28560,Cemented Cup-HXLPE with 32head 56,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002598,Screw - 6/45,Screw - 6/45,3146-60450,Screw - 6/45,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002596,Revision Cementless Cage 46 B 52L,Revision Cementless Cage 46 B 52L,3111-02522,Revision Cementless Cage 46 B 52L,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002597,Revision Cementless Cage 46 B 52R,Revision Cementless Cage 46 B 52R,3111-12522,Revision Cementless Cage 46 B 52R,Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002601,TTC Nail 9x18,TTC Nail 9x18,BOI.9930.0918,TTC Nail 9x18,TTC Nail,Հատ,Без НДС,հատ,9021
00-00002602,TTC Nail 9x21,TTC Nail 9x21,BOI.9930.0921,TTC Nail 9x21,TTC Nail,Հատ,Без НДС,հատ,9021
00-00002603,TTC Nail 9x24,TTC Nail 9x24,BOI.9930.0924,TTC Nail 9x24,TTC Nail,Հատ,Без НДС,հատ,9021
00-00002604,TTC Nail 10x18,TTC Nail 10x18,BOI.9930.1018,TTC Nail 10x18,TTC Nail,Հատ,Без НДС,հատ,9021
00-00002605,TTC Nail 10x21,TTC Nail 10x21,BOI.9930.1021,TTC Nail 10x21,TTC Nail,Հատ,Без НДС,հատ,9021
00-00002606,TTC Nail 10x24,TTC Nail 10x24,BOI.9930.1024,TTC Nail 10x24,TTC Nail,Հատ,Без НДС,հատ,9021
00-00002600,TTC Nail 11x18,TTC Nail 11x18,BOI.9930.1118,TTC Nail 11x18,TTC Nail,Հատ,Без НДС,հատ,9021
00-00002607,TTC Nail 11x21,TTC Nail 11x21,BOI.9930.1121,TTC Nail 11x21,TTC Nail,Հատ,Без НДС,հատ,9021
00-00002608,TTC Nail 11x24,TTC Nail 11x24,BOI.9930.1124,TTC Nail 11x24,TTC Nail,Հատ,Без НДС,հատ,9021
00-00002609,"InterLocking Bolt for TTC Nail 3,9X36","InterLocking Bolt for TTC Nail 3,9X36",BOI.3936,"InterLocking Bolt for TTC Nail 3,9X36",TTC Nail,Հատ,Без НДС,հատ,9021
00-00002610,"InterLocking Bolt for TTC Nail 3,9X40","InterLocking Bolt for TTC Nail 3,9X40",BOI.3940,"InterLocking Bolt for TTC Nail 3,9X40",TTC Nail,Հատ,Без НДС,հատ,9021
00-00002611,"InterLocking Bolt for TTC Nail 3,9X46","InterLocking Bolt for TTC Nail 3,9X46",BOI.3946,"InterLocking Bolt for TTC Nail 3,9X46",TTC Nail,Հատ,Без НДС,հատ,9021
00-00002612,"InterLocking Bolt for TTC Nail 3,9X50","InterLocking Bolt for TTC Nail 3,9X50",BOI.3950,"InterLocking Bolt for TTC Nail 3,9X50",TTC Nail,Հատ,Без НДС,հատ,9021
00-00002613,"InterLocking Bolt for TTC Nail 3,9X56","InterLocking Bolt for TTC Nail 3,9X56",BOI.3956,"InterLocking Bolt for TTC Nail 3,9X56",TTC Nail,Հատ,Без НДС,հատ,9021
00-00002614,"InterLocking Bolt for TTC Nail 3,9X60","InterLocking Bolt for TTC Nail 3,9X60",BOI.3960,"InterLocking Bolt for TTC Nail 3,9X60",TTC Nail,Հատ,Без НДС,հատ,9021
00-00002615,"InterLocking Bolt for TTC Nail 3,9X65","InterLocking Bolt for TTC Nail 3,9X65",BOI.3965,"InterLocking Bolt for TTC Nail 3,9X65",TTC Nail,Հատ,Без НДС,հատ,9021
00-00002616,Crosslinks 5.5mm System - 60mm,Crosslinks 5.5mm System - 60mm,8006.5560,Crosslinks 5.5mm System - 60mm,Gather,Հատ,Без НДС,հատ,9021
00-00002617,Crosslinks 5.5mm System - 80mm,Crosslinks 5.5mm System - 80mm,8006.5580,Crosslinks 5.5mm System - 80mm,Gather,Հատ,Без НДС,հատ,9021
00-00002619,Acetabular Reaming drill,Acetabular Reaming drill,50.45.34.1,Acetabular Reaming drill,Drill,Հատ,Без НДС,հատ,9021
00-00002620,Canulated drill,Canulated drill,50.45.34.2,Canulated drill,Drill,Հատ,Без НДС,հատ,9021
00-00002621,Ostillating Saw,Ostillating Saw,50.45.34.3,Ostillating Saw,Drill,Հատ,Без НДС,հատ,9021
00-00002622,Micro Oscillating Saw,Micro Oscillating Saw,50.45.34.4,Micro Oscillating Saw,Drill,Հատ,Без НДС,հատ,9021
00-00002623,Saw Blade for Micro,Saw Blade for Micro,50.45.34.5,Saw Blade for Micro,Drill,Հատ,Без НДС,հատ,9021
00-00002624,Saw Blade for Ostillating Saw,Saw Blade for Ostillating Saw,50.45.34.6,Saw Blade for Ostillating Saw,Drill,Հատ,Без НДС,հատ,9021
00-00002626,Guardian-MD mix,Guardian-MD mix,BMK-MD.1,Guardian-MD mix,BMK,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002627,Connector,Connector,BMD-MD.2,Connector,BMK,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002628,BMD-VP GUARDIAN Needle,BMD-VP GUARDIAN Needle,BMK-VP,BMD-VP GUARDIAN Needle,BMK,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00002660,PFNA1,PFNA1,1001,PFNA1,Instruments,Հատ,Без НДС,հատ,9021
00-00002659,PFNA2,PFNA2,1002,PFNA2,Instruments,Հատ,Без НДС,հատ,9021
00-00002658,PFNA3,PFNA3,1003,PFNA3,Instruments,Հատ,Без НДС,հատ,9021
00-00002657,PFNA4,PFNA4,1004,PFNA4,Instruments,Հատ,Без НДС,հատ,9021
00-00002687,BO Humeral nail1 ,BO Humeral nail1 ,1005,BO Humeral nail1 ,Instruments,Հատ,Без НДС,հատ,9021
00-00002686,BO Humeral nail2,BO Humeral nail2,1006,BO Humeral nail2,Instruments,Հատ,Без НДС,հատ,9021
00-00002637,Tibia nail ZMD1,Tibia nail ZMD1,1007,Tibia nail ZMD1,Instruments,Հատ,Без НДС,հատ,9021
00-00002638,Tibia nail Extraarticular BU,Tibia nail Extraarticular BU,1008,Tibia nail Extraarticular BU,Instruments,Հատ,Без НДС,հատ,9021
00-00002676,DHS instrument set1,DHS instrument set1,1009,DHS instrument set1,Instruments,Հատ,Без НДС,հատ,9021
00-00002675,DHS instrument set2,DHS instrument set2,1010,DHS instrument set2,Instruments,Հատ,Без НДС,հատ,9021
00-00002672,Herbert1,Herbert1,1011,Herbert1,Instruments,Հատ,Без НДС,հատ,9021
00-00002671,Herbert2,Herbert2,1012,Herbert2,Instruments,Հատ,Без НДС,հատ,9021
00-00002670,Herbert3,Herbert3,1013,Herbert3,Instruments,Հատ,Без НДС,հատ,9021
00-00002635,Wagner stem 2,Wagner stem 2,1014.2,Wagner stem 2,Instruments,Հատ,Без НДС,հատ,9021
00-00002679,Chunli Hip 1,Chunli Hip 1,1015,Chunli Hip 1,Instruments,Հատ,Без НДС,հատ,9021
00-00002678,Chunli Hip 2,Chunli Hip 2,1016,Chunli Hip 2,Instruments,Հատ,Без НДС,հատ,9021
00-00002680,Chunli Dual Mobiliti1,Chunli Dual Mobiliti1,1017,Chunli Dual Mobiliti1,Instruments,Հատ,Без НДС,հատ,9021
00-00002677,Chunli Knee1,Chunli Knee1,1018,Chunli Knee1,Instruments,Հատ,Без НДС,հատ,9021
00-00002669,Peddicular 1,Peddicular 1,1019,Peddicular 1,Instruments,Հատ,Без НДС,հատ,9021
00-00002668,Peddicular 2,Peddicular 2,1020,Peddicular 2,Instruments,Հատ,Без НДС,հատ,9021
00-00002667,Peddicular 3,Peddicular 3,1021,Peddicular 3,Instruments,Հատ,Без НДС,հատ,9021
00-00002691,Bipolar1,Bipolar1,1022,Bipolar1,Instruments,Հատ,Без НДС,հատ,9021
00-00002690,Bipolar2,Bipolar2,1023,Bipolar2,Instruments,Հատ,Без НДС,հատ,9021
00-00002689,Bipolar3,Bipolar3,1024,Bipolar3,Instruments,Հատ,Без НДС,հատ,9021
00-00002674,Femur BO nail1,Femur BO nail1,1025,Femur BO nail1,Instruments,Հատ,Без НДС,հատ,9021
00-00002673,Femur Zim nail1,Femur Zim nail1,1026,Femur Zim nail1,Instruments,Հատ,Без НДС,հատ,9021
00-00002664,Permedica Hip non cement1,Permedica Hip non cement1,1027,Permedica Hip non cement1,Instruments,Հատ,Без НДС,հատ,9021
00-00002663,Permedica Hip non cement2,Permedica Hip non cement2,1028,Permedica Hip non cement2,Instruments,Հատ,Без НДС,հատ,9021
00-00002666,Permedica hip cement1,Permedica hip cement1,1029,Permedica hip cement1,Instruments,Հատ,Без НДС,հատ,9021
00-00002665,Permedica hip cement2,Permedica hip cement2,1030,Permedica hip cement2,Instruments,Հատ,Без НДС,հատ,9021
00-00002662,Permedica Knee1,Permedica Knee1,1031,Permedica Knee1,Instruments,Հատ,Без НДС,հատ,9021
00-00002661,Permedica Knee2,Permedica Knee2,1032,Permedica Knee2,Instruments,Հատ,Без НДС,հատ,9021
00-00002655,Reamer rent1,Reamer rent1,1033,Reamer rent1,Instruments,Հատ,Без НДС,հատ,9021
00-00002654,Saw rent1,Saw rent1,1034,Saw rent1,Instruments,Հատ,Без НДС,հատ,9021
00-00002639,Snap-Off1,Snap-Off1,1035,Snap-Off1,Instruments,Հատ,Без НДС,հատ,9021
00-00002652,Screwbox small,Screwbox small,1036,Screwbox small,Instruments,Հատ,Без НДС,հատ,9021
00-00002653,Screwbox big,Screwbox big,1037,Screwbox big,Instruments,Հատ,Без НДС,հատ,9021
00-00002650,"Screwdriver for 3,5mm screws","Screwdriver for 3,5mm screws",BO.1035,"Screwdriver for 3,5mm screws",Instruments,Հատ,Без НДС,հատ,9021
00-00002643,"Screwdriver ZMD 3,5mm","Screwdriver ZMD 3,5mm",1039,"Screwdriver ZMD 3,5mm",Instruments,Հատ,Без НДС,հատ,9021
00-00002649,"Screwdriver for 4,5mm screws","Screwdriver for 4,5mm screws",BO.1045,"Screwdriver for 4,5mm screws",Instruments,Հատ,Без НДС,հատ,9021
00-00002641,"Screwdriver ZMD 4,5mm","Screwdriver ZMD 4,5mm",1041,"Screwdriver ZMD 4,5mm",Instruments,Հատ,Без НДС,հատ,9021
00-00002651,Screwdriver for 2.4/2.7mm screws,Screwdriver for 2.4/2.7mm screws,BO.1042,Screwdriver for 2.4/2.7mm screws,Instruments,Հատ,Без НДС,հատ,9021
00-00002688,Screwdriver for Suture anchor,Screwdriver for Suture anchor,BO.1043,Screwdriver for Suture anchor,Instruments,Հատ,Без НДС,հատ,9021
00-00002642,"Screwdriver ZMD 4,0mm cannul+non cannul","Screwdriver ZMD 4,0mm cannul+non cannul",1044,"Screwdriver ZMD 4,0mm cannul+non cannul",Instruments,Հատ,Без НДС,հատ,9021
00-00002640,"Screwdriver ZMD 7,3mm cannulated","Screwdriver ZMD 7,3mm cannulated",1045,"Screwdriver ZMD 7,3mm cannulated",Instruments,Հատ,Без НДС,հատ,9021
00-00002644,"Screwdriver ZMD 2,0mm phalang 2*/hex","Screwdriver ZMD 2,0mm phalang 2*/hex",1046,"Screwdriver ZMD 2,0mm phalang 2*/hex",Instruments,Հատ,Без НДС,հատ,9021
00-00002656,Phalang mesh tap drill/sleeve/mesh/hendle,Phalang mesh tap drill/sleeve/mesh/hendle,1047,Phalang mesh tap drill/sleeve/mesh/hendle,Instruments,Հատ,Без НДС,հատ,9021
00-00002646,"Screwdriver BU T8 2,0mm *","Screwdriver BU T8 2,0mm *",1048,"Screwdriver BU T8 2,0mm *",Instruments,Հատ,Без НДС,հատ,9021
00-00002645,"Screwdriver BU T8 2,7mm *","Screwdriver BU T8 2,7mm *",1049,"Screwdriver BU T8 2,7mm *",Instruments,Հատ,Без НДС,հատ,9021
00-00002647,"Screwdriver BU T153,5mm *","Screwdriver BU T153,5mm *",1050,"Screwdriver BU T153,5mm *",Instruments,Հատ,Без НДС,հատ,9021
00-00002648,"Screwdriver BU SW2,5 3,5mm cannul hex","Screwdriver BU SW2,5 3,5mm cannul hex",1051,"Screwdriver BU SW2,5 3,5mm cannul hex",Instruments,Հատ,Без НДС,հատ,9021
00-00002636,Tibiofibular Syndesmosis instrumen set REF115260000,Tibiofibular Syndesmosis instrumen set REF115260000,1052,Tibiofibular Syndesmosis instrumen set REF115260000,Instruments,Հատ,Без НДС,հատ,9021
00-00002684,"Sleeve for 3,5mm locking screws","Sleeve for 3,5mm locking screws",BO.1053,"Sleeve for 3,5mm locking screws",Instruments,Հատ,Без НДС,հատ,9021
00-00002685,"Sleeve for 2,4mm locking screws","Sleeve for 2,4mm locking screws",BO.1054,"Sleeve for 2,4mm locking screws",Instruments,Հատ,Без НДС,հատ,9021
00-00002683,"Sleeve for 5,0mm locking screws","Sleeve for 5,0mm locking screws",BO.1055,"Sleeve for 5,0mm locking screws",Instruments,Հատ,Без НДС,հատ,9021
00-00002682,"Sleeve for 6,5mm locking screws","Sleeve for 6,5mm locking screws",BO.1056,"Sleeve for 6,5mm locking screws",Instruments,Հատ,Без НДС,հատ,9021
00-00002633,"ZMD Sleeve 3,5mm","ZMD Sleeve 3,5mm",1057,"ZMD Sleeve 3,5mm",Instruments,Հատ,Без НДС,հատ,9021
00-00002632,"ZMD Sleeve 5,0mm","ZMD Sleeve 5,0mm",1058,"ZMD Sleeve 5,0mm",Instruments,Հատ,Без НДС,հատ,9021
00-00002631,"ZMD Sleeve 6,0mm","ZMD Sleeve 6,0mm",1059,"ZMD Sleeve 6,0mm",Instruments,Հատ,Без НДС,հատ,9021
00-00002630,"ZMD Sleeve 2,4mm","ZMD Sleeve 2,4mm",1060,"ZMD Sleeve 2,4mm",Instruments,Հատ,Без НДС,հատ,9021
00-00002634,"ZMD Sleeve 2,0mm","ZMD Sleeve 2,0mm",1061,"ZMD Sleeve 2,0mm",Instruments,Հատ,Без НДС,հատ,9021
00-00002681,"BU Sleeve 3,5mm","BU Sleeve 3,5mm",1062,"BU Sleeve 3,5mm",Instruments,Հատ,Без НДС,հատ,9021
00-00002692,CHUNLI Hip Instrument Set N1/2,CHUNLI Hip Instrument Set N1/2,10010.2,CHUNLI Hip Instrument Set N1/2,CHUNLI,Հատ,Без НДС,հատ,9021
00-00002693,CHUNLI Hip Instrument Set N2/1,CHUNLI Hip Instrument Set N2/1,10002.1,CHUNLI Hip Instrument Set N2/1,CHUNLI,Հատ,Без НДС,հատ,9021
00-00002694,CHUNLI Knee Instrument Set 2,CHUNLI Knee Instrument Set 2,10002,CHUNLI Knee Instrument Set 2,CHUNLI,Հատ,Без НДС,հատ,9021
00-00002695,CHUNLI Knee Instrument Set 3,CHUNLI Knee Instrument Set 3,10003,CHUNLI Knee Instrument Set 3,CHUNLI,Հատ,Без НДС,հատ,9021
00-00002696,CHUNLI Knee Instrument Set 4,CHUNLI Knee Instrument Set 4,10004,CHUNLI Knee Instrument Set 4,CHUNLI,Հատ,Без НДС,հատ,9021
00-00002697,CHUNLI Knee Instrument Set 5,CHUNLI Knee Instrument Set 5,10005,CHUNLI Knee Instrument Set 5,CHUNLI,Հատ,Без НДС,հատ,9021
00-00002698,CHUNLI Hip Instrument Set N3/1,CHUNLI Hip Instrument Set N3/1,10003.1,CHUNLI Hip Instrument Set N3/1,CHUNLI,Հատ,Без НДС,հատ,9021
00-00002699,CHUNLI Hip Instrument Set N3/2,CHUNLI Hip Instrument Set N3/2,10003.2,CHUNLI Hip Instrument Set N3/2,CHUNLI,Հատ,Без НДС,հատ,9021
00-00002701,Bipolar4,Bipolar4,1025,Bipolar4,Instruments,Հատ,Без НДС,հատ,9021
00-00002704,Tibia Distal Medial Combinated Locking plate 11h R Ti,Tibia Distal Medial Combinated Locking plate 11h R Ti,4212.0511,Tibia Distal Medial Combinated Locking plate 11h R Ti,ZMD Plates,Հատ,Без НДС,հատ,9021
