code_1c,description,print_name,sku,reference,group,item_type,vat_rate,uom,hs_code
00-00003303,"58Liner-PE - 36/48 56# (working with cup size of 56,58,60)","58Liner-PE - 36/48 56# (working with cup size of 56,58,60)",3150-36483.1,"58Liner-PE - 36/48 56# (working with cup size of 56,58,60)",Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003304,"58Liner-PE - 36/52 62# (working with cup size of 62,64,66)","58Liner-PE - 36/52 62# (working with cup size of 62,64,66)",3150-36523.1,"58Liner-PE - 36/52 62# (working with cup size of 62,64,66)",Chunli Hip,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003306,GENTAFIX 1 with antibiotic,GENTAFIX 1 with antibiotic,T040140G,GENTAFIX 1 with antibiotic,Teknimed Cement,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003307,CEMFIX 1 without antibiotic,CEMFIX 1 without antibiotic,T040140,CEMFIX 1 without antibiotic,Teknimed Cement,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003308,Ceraform Granules 3x3x3mm 10cc,Ceraform Granules 3x3x3mm 10cc,T804405,Ceraform Granules 3x3x3mm 10cc,Teknimed Cement,Ժամկետով ապրանքներ,Без НДС,հատ,
00-00003309,Long PFNA right 11*400mm Ti,Long PFNA right 11*400mm Ti,4209.1140,Long PFNA right 11*400mm Ti,PFNA,Հատ,Без НДС,հատ,9021
00-00003310,3.5mm Lockable Screw 3.5*34mm S.S,3.5mm Lockable Screw 3.5*34mm S.S,4114.3534,3.5mm Lockable Screw 3.5*34mm S.S,ZMD Screws,Հատ,Без НДС,հատ,9021
00-00003311,"ZM Locking screw 3.5mm, 60mm Ti","ZM Locking screw 3.5mm, 60mm Ti",2201.3560,"ZM Locking screw 3.5mm, 60mm Ti",ZMD Screws,Հատ,Без НДС,հատ,9021
00-00003312,"ZM Locking screw 3.5mm, 70mm Ti","ZM Locking screw 3.5mm, 70mm Ti",2201.3570,"ZM Locking screw 3.5mm, 70mm Ti",ZMD Screws,Հատ,Без НДС,հատ,9021
00-00003313,LC‐DCP Femoral Plate 6h S.S,LC‐DCP Femoral Plate 6h S.S,1113.0306,LC‐DCP Femoral Plate 6h S.S,ZMD Plates,Հատ,Без НДС,հատ,9021
00-00003314,LC‐DCP for Tibia plate 12h S.S,LC‐DCP for Tibia plate 12h S.S,1113.0212,LC‐DCP for Tibia plate 12h S.S,ZMD Plates,Հատ,Без НДС,հատ,9021
00-00003315,LC‐DCP for Tibia plate 14h S.S,LC‐DCP for Tibia plate 14h S.S,1113.0214,LC‐DCP for Tibia plate 14h S.S,ZMD Plates,Հատ,Без НДС,հատ,9021
00-00003316,"ZM K-wire, 2.0/250mm SS","ZM K-wire, 2.0/250mm SS",30248.2.0.250,"ZM K-wire, 2.0/250mm SS",ZMD Wire,Հատ,Без НДС,հատ,9021
00-00003317,"GKS PRIME FLEX: PS UHMWPE Insert, Size 7-10 / B-C - 09mm E","GKS PRIME FLEX: PS UHMWPE Insert, Size 7-10 / B-C - 09mm E",54588E,"GKS PRIME FLEX: PS UHMWPE Insert, Size 7-10 / B-C - 09mm E",Permedica - Knee,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003318,"GKS PRIME FLEX: PS UHMWPE Insert, Size 7-10 / B-C - 11mm E","GKS PRIME FLEX: PS UHMWPE Insert, Size 7-10 / B-C - 11mm E",54589E,"GKS PRIME FLEX: PS UHMWPE Insert, Size 7-10 / B-C - 11mm E",Permedica - Knee,Ժամկետով ապրանքներ,Без НДС,հատ,9021
00-00003319,Proximal Medial Tibial T-Locking Plate 12 H Left,Proximal Medial Tibial T-Locking Plate 12 H Left,3010051012,Proximal Medial Tibial T-Locking Plate 12 H Left,Boneunion,Հատ,Без НДС,հատ,9021
00-00003320,Proximal Medial Tibial T-Locking Plate 12 H Right,Proximal Medial Tibial T-Locking Plate 12 H Right,3010052012,Proximal Medial Tibial T-Locking Plate 12 H Right,Boneunion,Հատ,Без НДС,հատ,9021
00-00003321,Distal Lateral Tibial Locking Plate RIGHT 13holes,Distal Lateral Tibial Locking Plate RIGHT 13holes,3010262013,Distal Lateral Tibial Locking Plate RIGHT 13holes,Boneunion,Հատ,Без НДС,հատ,9021
00-00003322,"Proximal Humeral Locking Plate, 4 Holes","Proximal Humeral Locking Plate, 4 Holes",3010460004,"Proximal Humeral Locking Plate, 4 Holes",Boneunion,Հատ,Без НДС,հատ,9021
00-00003323,"Proximal Humeral Locking Plate, 5 Holes","Proximal Humeral Locking Plate, 5 Holes",3010460005,"Proximal Humeral Locking Plate, 5 Holes",Boneunion,Հատ,Без НДС,հատ,9021
00-00003324,"Proximal Humeral Locking Plate, 6 Holes","Proximal Humeral Locking Plate, 6 Holes",3010460006,"Proximal Humeral Locking Plate, 6 Holes",Boneunion,Հատ,Без НДС,հատ,9021
00-00003325,"Proximal Humeral Locking Plate, 7 Holes","Proximal Humeral Locking Plate, 7 Holes",3010460007,"Proximal Humeral Locking Plate, 7 Holes",Boneunion,Հատ,Без НДС,հատ,9021
00-00003326,"Proximal Humeral Locking Plate, 8 Holes","Proximal Humeral Locking Plate, 8 Holes",3010460008,"Proximal Humeral Locking Plate, 8 Holes",Boneunion,Հատ,Без НДС,հատ,9021
00-00003327,"Proximal Humeral Locking Plate, 9 Holes","Proximal Humeral Locking Plate, 9 Holes",3010460009,"Proximal Humeral Locking Plate, 9 Holes",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Narrow Limited Contact Locking Plate, 7 Holes","Narrow Limited Contact Locking Plate, 7 Holes",3010040007,"Narrow Limited Contact Locking Plate, 7 Holes",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Narrow Limited Contact Locking Plate, 9 Holes","Narrow Limited Contact Locking Plate, 9 Holes",3010040009,"Narrow Limited Contact Locking Plate, 9 Holes",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Narrow Limited Contact Locking Plate, 11 Holes","Narrow Limited Contact Locking Plate, 11 Holes",3010040011,"Narrow Limited Contact Locking Plate, 11 Holes",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Narrow Limited Contact Locking Plate, 13 Holes","Narrow Limited Contact Locking Plate, 13 Holes",3010040013,"Narrow Limited Contact Locking Plate, 13 Holes",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Narrow Limited Contact Locking Plate, 15 Holes","Narrow Limited Contact Locking Plate, 15 Holes",3010040015,"Narrow Limited Contact Locking Plate, 15 Holes",Boneunion,Հատ,Без НДС,հատ,9021
           ,"GSSⅢ Locking Nut(5.5/6.0mm system), Φ9.4mm","GSSⅢ Locking Nut(5.5/6.0mm system), Φ9.4mm",3245070000,"GSSⅢ Locking Nut(5.5/6.0mm system), Φ9.4mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ9×320mm","Distal Femoral Nail, Φ9×320mm",3051010320,"Distal Femoral Nail, Φ9×320mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ9×340mm","Distal Femoral Nail, Φ9×340mm",3051010340,"Distal Femoral Nail, Φ9×340mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ9×360mm","Distal Femoral Nail, Φ9×360mm",3051010360,"Distal Femoral Nail, Φ9×360mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ9×380mm","Distal Femoral Nail, Φ9×380mm",3051010380,"Distal Femoral Nail, Φ9×380mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ9×400mm","Distal Femoral Nail, Φ9×400mm",3051010400,"Distal Femoral Nail, Φ9×400mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,Distal Femoral Nail Φ10×280mm,Distal Femoral Nail Φ10×280mm,3051020280,Distal Femoral Nail Φ10×280mm,Boneunion,Հատ,Без НДС,հատ,9021
           ,Distal Femoral Nail Φ10×300mm,Distal Femoral Nail Φ10×300mm,3051020300,Distal Femoral Nail Φ10×300mm,Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ10×320mm","Distal Femoral Nail, Φ10×320mm",3051020320,"Distal Femoral Nail, Φ10×320mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ10×340mm","Distal Femoral Nail, Φ10×340mm",3051020340,"Distal Femoral Nail, Φ10×340mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ10×360mm","Distal Femoral Nail, Φ10×360mm",3051020360,"Distal Femoral Nail, Φ10×360mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ10×380mm","Distal Femoral Nail, Φ10×380mm",3051020380,"Distal Femoral Nail, Φ10×380mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ10×400mm","Distal Femoral Nail, Φ10×400mm",3051020400,"Distal Femoral Nail, Φ10×400mm",Boneunion,Հատ,Без НДС,հատ,9021
           ,Distal Femoral Nail Φ11×280mm,Distal Femoral Nail Φ11×280mm,3051030280,Distal Femoral Nail Φ11×280mm,Boneunion,Հատ,Без НДС,հատ,9021
           ,Distal Femoral Nail Φ11×300mm,Distal Femoral Nail Φ11×300mm,3051030300,Distal Femoral Nail Φ11×300mm,Boneunion,Հատ,Без НДС,հատ,9021
           ,"Distal Femoral Nail, Φ11×320mm","Distal Femoral Nail, Φ11×320mm",3051030320,"Distal Femoral Nail, Φ11×320mm",Boneunion,Հատ,Без НДС,հատ,9021
