sku,retail_price,purchase_price
102.06.02125,400000.0,
102.06.02126,400000.0,
102.06.02127,400000.0,
PC.300.30.11.1,10.0,
PC.300.30.11.2,10.0,
PC.300.30.11.3,10.0,
BO.9940.75.L.S,1000.0,
BO.9940.75.R.S,220000.0,
2211.1511,220000.0,
2212.1511,220000.0,
2211.1513,220000.0,
2212.1513,220000.0,
2211.1506,220000.0,
2212.1506,220000.0,
2211.1505,220000.0,
2212.1505,220000.0,
1113.1510,1000.0,
1113.1508,1000.0,
BOI.105.12.S,3000.0,
BOI.105.14.S,3000.0,
BOI.105.16.S,3000.0,
BOI.105.18.S,3000.0,
BOI.105.20.S,3000.0,
BOI.105.28.S,3000.0,
BOI.105.30.S,3000.0,
BOI.104.30.S,3000.0,
BOI.105.32.S,3000.0,
BOI.105.34.S,3000.0,
BOI.104.35.S,3000.0,
BOI.105.36.S,3000.0,
BOI.105.40.S,3000.0,
BOI.104.40.S,3000.0,
BOI.105.42.S,3000.0,
BOI.105.44.S,3000.0,
BOI.104.45.S,3000.0,
BOI.105.46.S,3000.0,
BOI.105.48.S,3000.0,
BOI.105.50.S,3000.0,
BOI.104.50.S,3000.0,
BOI.105.55.S,3000.0,
BOI.104.55.S,3000.0,
BOI.105.60.S,3000.0,
BOI.104.60.S,3000.0,
BOI.105.65.S,3000.0,
BOI.105.70.S,3000.0,
9000.0100,1000.0,
BOI.115.100.S,1000.0,
BOI.115.100.Ti,1000.0,
BOI.115.105.S,1000.0,
BOI.115.105.Ti,1000.0,
BOI.115.110.S,1000.0,
BOI.115.110.Ti,1000.0,
BOI.115.30.S,1000.0,
BOI.115.30.Ti,1000.0,
BOI.115.35.S,1000.0,
BOI.115.35.Ti,1000.0,
BOI.115.40.S,1000.0,
BOI.115.40.Ti,1000.0,
BOI.115.45.S,1000.0,
BOI.115.45.Ti,1000.0,
BOI.115.50.S,1000.0,
BOI.115.50.Ti,1000.0,
BOI.115.55.S,1000.0,
BOI.115.55.Ti,1000.0,
BOI.115.60.S,1000.0,
BOI.115.60.Ti,1000.0,
BOI.115.65.S,1000.0,
BOI.115.65.Ti,1000.0,
BOI.115.70.S,1000.0,
BOI.115.70.Ti,1000.0,
BOI.115.75.S,1000.0,
BOI.115.75.Ti,1000.0,
BOI.115.80.S,1000.0,
BOI.115.80.Ti,1000.0,
BOI.115.85.S,1000.0,
BOI.115.85.Ti,1000.0,
BOI.115.90.S,1000.0,
BOI.115.90.Ti,1000.0,
BOI.115.95.S,1000.0,
BOI.115.95.Ti,1000.0,
BOI.106.30.S,1000.0,
BOI.106.30.Ti,1000.0,
BOI.106.35.S,1000.0,
BOI.106.35.Ti,1000.0,
BOI.106.40.S,1000.0,
BOI.106.40.Ti,1000.0,
BOI.106.45.S,1000.0,
BOI.106.45.Ti,1000.0,
BOI.106.50.S,1000.0,
BOI.106.50.Ti,1000.0,
BOI.106.55.S,1000.0,
BOI.106.55.Ti,1000.0,
BOI.106.60.S,1000.0,
BOI.106.60.Ti,1000.0,
BOI.106.65.S,1000.0,
BOI.106.65.Ti,1000.0,
BOI.106.70.S,1000.0,
BOI.106.70.Ti,1000.0,
BOI.106.75.S,1000.0,
BOI.106.75.Ti,1000.0,
BO.1062,1000.0,
BO.1063,1000.0,
BO.1064,1000.0,
9000.0694.1,1000.0,
9000.0694.2,1000.0,
9000.0697.1,1000.0,
9000.0697.2,1000.0,
9000.0698.1,1000.0,
9000.0698.2,1000.0,
BO.704.006,1000.0,
BO.704.007,1000.0,
BO.703.01,1000.0,
50.45.34.2,430000.0,
PC.300.30.07.1,10.0,
PC.300.30.07.2,10.0,
PC.300.30.07.3,10.0,
PC.300.30.09.1,10.0,
PC.300.30.09.2,10.0,
PC.300.30.09.3,10.0,
PC.300.30.08.1,10.0,
PC.300.30.08.10,10.0,
PC.300.30.08.11,10.0,
PC.300.30.08.12,10.0,
PC.300.30.08.2,10.0,
PC.300.30.08.3,10.0,
PC.300.30.08.4,10.0,
PC.300.30.08.5,10.0,
PC.300.30.08.6,10.0,
PC.300.30.08.7,10.0,
PC.300.30.08.8,10.0,
PC.300.30.08.9,10.0,
3170-28460,1000.0,34000.0
3170-28480,1000.0,34000.0
3170-28500,1000.0,34000.0
3170-28520,108000.0,34000.0
3170-28540,108000.0,34000.0
3170-28560,1000.0,34000.0
3170-28580,1000.0,34000.0
3170-28600,1000.0,34000.0
T040140,23000.0,
T804405,80000.0,
3211-02280,1000.0,
3211-01280,1000.0,
3211-00280,1000.0,
3211-02320,1000.0,
3211-01320,1000.0,
3211-00320,1000.0,
3211-03320,1000.0,
3211-02360,1000.0,
3211-01360,1000.0,104000.0
3211-00360,1000.0,
3211-02260,1000.0,
ACBS-14-13-55,220000.0,
ACBS-14-13-65,220000.0,
INACEIHB,220000.0,
157130500S,142000.0,
150110035S,142000.0,
1027,1.0,
10010.5.1,1000.0,
10010.5.2,1000.0,
10010.6.1,1.0,
10010.6.2,1.0,
10010.7.1,1.0,
