GROUP 5: zmd wire (20 items)

1. 30248.08.1.2.250 - ZM K-wire, 1.2/250mm SS
2. 30248.08.250 - ZM K-wire, 0.8/250mm SS
3. 30248.1.0.230 - ZM K-wire, 1.0/230mm SS
4. 30248.1.0.300 - ZM K-wire, 1.0/300mm SS
5. 30248.1.2.300 - ZM K-wire, 1.2/300 mm SS
6. 30248.1.5.300 - ZM K-wire, 1.5/300 mm SS
7. 30248.2.0.250 - ZM K-wire, 2.0/250mm SS
8. 30248.2.0.300 - ZM K-wire, 2.0/300mm SS
9. 30248.2.5.250 - ZM K-wire, 2.5/250mm SS
10. 30248.2.5.300 - ZM K-wire, 2.5/300mm SS
11. 30248.3.0.250 - ZM K-wire, 3.0/250mm SS
12. 30248.3.0.300 - ZM K-wire, 3.0/300mm SS
13. 30248.3.5.300 - ZM K-wire, 3.5/300mm SS
14. 30248.4.0.200 - ZM K-wire, 4.0/200mm SS
15. 30248.4.0.250 - ZM K-wire, 4.0/250mm SS
16. 30248.4.0.300 - ZM K-wire, 4.0/300mm SS
17. 9000.0410 - ZM Suture Wire 5m 0.8 mm SS
18. 9000.0411 - ZM Suture Wire 5m 0.6 mm SS
19. 9000.0412 - ZM Suture Wire 5m 1.0 mm SS
20. 9000.0413 - ZM Suture Wire 5m 1.2 mm SS


GROUP 6: Zimede (162 items)

107. 50206.7.5x200 - Zimede, Humeral Self-Lockable Intr. Nail, 7.5x200mm, S.S
108. 50206.7.5x220 - Zimede, Humeral Self-Lockable Intr. Nail, 7.5x220mm, S.S
109. 50206.7.5x240 - Zimede, Humeral Self-Lockable Intr. Nail, 7.5x240mm, S.S
110. 50206.7.5x260 - Zimede, Humeral Self-Lockable Intr. Nail, 7.5x260mm, S.S
111. 50206.7.5x280 - Zimede, Humeral Self-Lockable Intr. Nail, 7.5x280mm, S.S
112. 50206.7x180 - Zimede, Humeral Self-Lockable Intr. Nail, 7x180mm, S.S
113. 50206.7x200 - Zimede, Humeral Self-Lockable Intr. Nail, 7x200mm, S.S
114. 50206.7x220 - Zimede, Humeral Self-Lockable Intr. Nail, 7x220mm, S.S
115. 50206.7x240 - Zimede, Humeral Self-Lockable Intr. Nail, 7x240mm, S.S
116. 50206.7x260 - Zimede, Humeral Self-Lockable Intr. Nail, 7x260mm, S.S
117. 50206.7x280 - Zimede, Humeral Self-Lockable Intr. Nail, 7x280mm, S.S
118. 50206.8x180 - Zimede, Humeral Self-Lockable Intr. Nail, 8x180mm, S.S
119. 50206.8x200 - Zimede, Humeral Self-Lockable Intr. Nail, 8x200mm, S.S
120. 50206.8x220 - Zimede, Humeral Self-Lockable Intr. Nail, 8x220mm, S.S
121. 50206.8x240 - Zimede, Humeral Self-Lockable Intr. Nail, 8x240mm, S.S
122. 50206.8x260 - Zimede, Humeral Self-Lockable Intr. Nail, 8x260mm, S.S
123. 50206.8x280 - Zimede, Humeral Self-Lockable Intr. Nail, 8x280mm, S.S
124. 50208.3.5x24 - Zimede, Locking screw, 3.5x24mm, S.S
125. 50208.3.5x26 - Zimede, Locking screw, 3.5x26mm, S.S
126. 50208.3.5x28 - Zimede, Locking screw, 3.5x28mm, S.S
127. 50208.3.5x30 - Zimede, Locking screw, 3.5x30mm, S.S
128. 50208.3.5x32 - Zimede, Locking screw, 3.5x32mm, S.S
129. 50208.3.5x36 - Zimede, Locking screw, 3.5x36mm, S.S
130. 50208.3.5x38 - Zimede, Locking screw, 3.5x38mm, S.S
131. 50208.3.5x40 - Zimede, Locking screw, 3.5x40mm, S.S
132. 50208.3.5x45 - Zimede, Locking screw, 3.5x45mm, S.S
133. 50208.3.5x50 - Zimede, Locking screw, 3.5x50mm, S.S
134. 50208.4.8x35 - Zimede, Locking screw, 4.8x35mm, S.S
135. 50208.4.8x40 - Zimede, Locking screw, 4.8x40mm, S.S
136. 50208.4.8x45 - Zimede, Locking screw, 4.8x45mm, S.S
137. 50208.4.8x50 - Zimede, Locking screw, 4.8x50mm, S.S
138. 50208.4.8x55 - Zimede, Locking screw, 4.8x55mm, S.S
139. 50208.4.8x60 - Zimede, Locking screw, 4.8x60mm, S.S
140. 50208.4.8x65 - Zimede, Locking screw, 4.8x65mm, S.S
141. 50208.4.8x70 - Zimede, Locking screw, 4.8x70mm, S.S
142. 50208.4.8x75 - Zimede, Locking screw, 4.8x75mm, S.S
143. 50208.4.8x80 - Zimede, Locking screw, 4.8x80mm, S.S
144. 50208.4.8x85 - Zimede, Locking screw, 4.8x85mm, S.S
145. 50208.4.8x90 - Zimede, Locking screw, 4.8x90mm, S.S
146. 9000.0100 - Cannulated Drill Bit 2.0*150mm for 3.0 herbert screw 
147. 9000.0286.1 - Opening ScrewDriver-T8 2.4 mini system (Blue) 1
148. 9000.0286.2 - Opening ScrewDriver-T8 2.4 mini system (Blue) 2
149. 9000.0291 - Non-Opening ScrewDriver-T8 2.7 mini system (Yellow) 1
150. 9000.0292 - Non-Opening ScrewDriver-T8 2.7 mini system (Yellow) 2
151. 9000.0384.1 - Hex Screwdriver (Handle) SW2.0 1
152. 9000.0384.2 - Hex Screwdriver (Handle) SW2.0 2
153. 9000.0388.1 - Hex Screwdriver (Handle) SW4.0 1
154. 9000.0388.2 - Hex Screwdriver (Handle) SW4.0 2
155. 9000.0694.1 - Cannulated Screwdriver(Handle) for 3.0 herbert screw 1
156. 9000.0694.2 - Cannulated Screwdriver(Handle) for 3.0 herbert screw 2
157. 9000.0697.1 - Cannulated Screwdriver(Handle) SW3.5 1
158. 9000.0697.2 - Cannulated Screwdriver(Handle) SW3.5 2
159. 9000.0698.1 - Cannulated Screwdriver(Handle) SW4.0 1
160. 9000.0698.2 - Cannulated Screwdriver(Handle) SW4.0 2
161. 9000.0917 - Straight quick coupling handle(wooden) 1
162. 9000.0927 - Straight quick coupling handle(wooden) 2


GROUP 7: JUST (4 items)

1. 10005â¤1 - JUST Hip Instrument Set N2â¤1
2. 10005â¤2 - JUST Hip Instrument Set N2â¤2
3. 10006â¤1 - JUST Hip Instrument Set N3â¤1
4. 10006â¤2 - JUST Hip Instrument Set N3â¤2


GROUP 8: BOMBAY (274 items)

1. 30243,1 - washer for cannulated screw 7.3 mm 
2. 30243.1 - BOMBAY, washer for cannulated screw 4.0/4.5
3. BO.02.9938.05.S.S. - PROXIMAL FEMUR LOCKING PLATE (6.5 COBRA HEAD) 5 Holes S.S.
4. BO.02.9938.05.Ti - PROXIMAL FEMUR LOCKING PLATE (6.5 COBRA HEAD) 5 Holes Ti
5. BO.02.9938.07.S.S. - PROXIMAL FEMUR LOCKING PLATE (6.5 COBRA HEAD) 7 Holes S.S.
6. BO.02.9938.07.Ti - PROXIMAL FEMUR LOCKING PLATE (6.5 COBRA HEAD) 7 Holes Ti
7. BO.02.9938.09.S.S. - PROXIMAL FEMUR LOCKING PLATE (6.5 COBRA HEAD) 9 Holes S.S.
8. BO.02.9938.09.Ti - PROXIMAL FEMUR LOCKING PLATE (6.5 COBRA HEAD) 9 Holes Ti
9. BO.02.9938.11.S.S. - PROXIMAL FEMUR LOCKING PLATE (6.5 COBRA HEAD) 11 Holes S.S.
10. BO.02.9938.11.Ti - PROXIMAL FEMUR LOCKING PLATE (6.5 COBRA HEAD) 11 Holes Ti
11. BO.02.9938.13.S.S. - PROXIMAL FEMUR LOCKING PLATE (6.5 COBRA HEAD) 13 Holes S.S.
12. BO.02.9938.13.Ti - PROXIMAL FEMUR LOCKING PLATE (6.5 COBRA HEAD) 13 Holes Ti
13. BO.0201.12.I - BOMBAY, 3.5MM DEPTH GAUGE 
14. BO.0201.13.I - BOMBAY, 4.5MM DEPTH GAUGE
15. BO.135.04.Ti - Ti Pedical HOOK
16. BO.145.12.90.T - BOM.ECO CAGE DIA. 12mm length 90mm
17. BO.145.14.90.T - BOM.ECO CAGE DIA. 14mm length 90mm
18. BO.155.07.S - SMALL COMPRESSION LOCKING PLATE 3.5MM S.S. 7H
19. BO.155.07.T - SMALL COMPRESSION LOCKING PLATE 3.5MM Ti 7H
20. BO.155.09.S - SMALL COMPRESSION LOCKING PLATE 3.5MM S.S. 9H
21. BO.155.09.T - SMALL COMPRESSION LOCKING PLATE 3.5MM Ti 9H
22. BO.155.11.S - SMALL COMPRESSION LOCKING PLATE 3.5MM S.S. 11H
23. BO.155.11.T - SMALL COMPRESSION LOCKING PLATE 3.5MM Ti 11H
24. BO.155.12.S - SMALL COMPRESSION LOCKING PLATE 3.5MM S.S. 12H
25. BO.155.12.T - SMALL COMPRESSION LOCKING PLATE 3.5MM Ti 12H
26. BO.167.10.T - Broad Locking Compression Plate 10h Ti
27. BO.167.11.S - BROAD LOCKING COMPRESSION PLATE 5.0MM 11H S.S.
28. BO.167.11.T - Broad Locking Compression Plate 11h Ti
29. BO.167.12.T - Broad Locking Compression Plate 12h Ti
30. BO.167.13.S - BROAD LOCKING COMPRESSION PLATE 5.0MM 13H S.S.
31. BO.167.15.S - BROAD LOCKING COMPRESSION PLATE 5.0MM 15H S.S.
32. BO.167.16.T - Broad Locking Compression Plate 16h Ti
33. BO.167.17.S - BROAD LOCKING COMPRESSION PLATE 5.0MM 17H S.S.
34. BO.167.7.S - BROAD LOCKING COMPRESSION PLATE 5.0MM 7H S.S.
35. BO.167.9.S - BROAD LOCKING COMPRESSION PLATE 5.0MM 9H S.S.
36. BO.169.34.T - Locking Screw 5.0mm,34mm Ti
37. BO.169.36.T - Locking Screw 5.0mm,36mm Ti
38. BO.169.38.T - Locking Screw 5.0mm,38mm Ti
39. BO.169.40.T - Locking Screw 5.0mm,40mm Ti
40. BO.169.42.T - Locking Screw 5.0mm,42mm Ti
41. BO.169.44.T - Locking Screw 5.0mm,44mm Ti
42. BO.169.46.T - Locking Screw 5.0mm,46mm Ti
43. BO.169.50.T - Locking Screw 5.0mm,50mm Ti
44. BO.169.55.T - Locking Screw 5.0mm,55mm Ti
45. BO.169.60.T - Locking Screw 5.0mm,60mm Ti
