"name","owner","creation","modified","modified_by","docstatus","idx","item_code","uom","packing_unit","item_name","price_list","buying","selling","currency","price_list_rate","valid_from","lead_time_days","doctype"
"12vn38306t","Administrator","2026-05-11 23:53:07.193046","2026-05-11 23:53:07.193046","Administrator","0","0","3051010320","Nos","0","Distal Femoral Nail, Φ9×320mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"130fkuj40q","Administrator","2026-05-11 23:53:07.229868","2026-05-11 23:53:07.229868","Administrator","0","0","3051010340","Nos","0","Distal Femoral Nail, Φ9×340mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13082bmgid","Administrator","2026-05-11 23:53:07.259222","2026-05-11 23:53:07.259222","Administrator","0","0","3051010360","Nos","0","Distal Femoral Nail, Φ9×360mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"131t4reqli","Administrator","2026-05-11 23:53:07.312162","2026-05-11 23:53:07.312162","Administrator","0","0","3051010380","Nos","0","Distal Femoral Nail, Φ9×380mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"131vua1831","Administrator","2026-05-11 23:53:07.379272","2026-05-11 23:53:07.379272","Administrator","0","0","3051010400","Nos","0","Distal Femoral Nail, Φ9×400mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"132s9ar0bs","Administrator","2026-05-11 23:53:07.419851","2026-05-11 23:53:07.419851","Administrator","0","0","3051020280","Nos","0","Distal Femoral Nail Φ10×280mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13259imqm4","Administrator","2026-05-11 23:53:07.456872","2026-05-11 23:53:07.456872","Administrator","0","0","3051020300","Nos","0","Distal Femoral Nail Φ10×300mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"13392kj401","Administrator","2026-05-11 23:53:07.507555","2026-05-11 23:53:07.507555","Administrator","0","0","3051020320","Nos","0","Distal Femoral Nail, Φ10×320mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"1338ldkmue","Administrator","2026-05-11 23:53:07.538056","2026-05-11 23:53:07.538056","Administrator","0","0","3051020340","Nos","0","Distal Femoral Nail, Φ10×340mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"1331dh867t","Administrator","2026-05-11 23:53:07.561722","2026-05-11 23:53:07.561722","Administrator","0","0","3051020360","Nos","0","Distal Femoral Nail, Φ10×360mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"133152h3ra","Administrator","2026-05-11 23:53:07.585128","2026-05-11 23:53:07.585128","Administrator","0","0","3051020380","Nos","0","Distal Femoral Nail, Φ10×380mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"1342hpauuv","Administrator","2026-05-11 23:53:07.606564","2026-05-11 23:53:07.606564","Administrator","0","0","3051020400","Nos","0","Distal Femoral Nail, Φ10×400mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"134fjc0q44","Administrator","2026-05-11 23:53:07.633389","2026-05-11 23:53:07.633389","Administrator","0","0","3051030280","Nos","0","Distal Femoral Nail Φ11×280mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"1343ja7edr","Administrator","2026-05-11 23:53:07.657762","2026-05-11 23:53:07.657762","Administrator","0","0","3051030300","Nos","0","Distal Femoral Nail Φ11×300mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"134ffmiptj","Administrator","2026-05-11 23:53:07.681933","2026-05-11 23:53:07.681933","Administrator","0","0","3051030320","Nos","0","Distal Femoral Nail, Φ11×320mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"135qaoupto","Administrator","2026-05-11 23:53:07.703897","2026-05-11 23:53:07.703897","Administrator","0","0","3051030340","Nos","0","Distal Femoral Nail, Φ11×340mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
"135hmqiibs","Administrator","2026-05-11 23:53:07.729275","2026-05-11 23:53:07.729275","Administrator","0","0","3051030360","Nos","0","Distal Femoral Nail, Φ11×360mm","Standard Selling","0","1","AMD","1000.0","2026-05-11","0","Item Price"
